monkey_strategy,wolf_strategy,avg_turn_count,avg_monkey_cards_left,avg_wolf_cards_left
random,random,15.004,2.967,3.05
random,random_spot_win,13.194,3.559,3.893
random,metric_count,10.818,1.823,5.644
random,metric_strength,10.622,1.906,5.784
random_spot_win,random,12.509,4.135,3.812
random_spot_win,random_spot_win,11.264,4.647,4.488
random_spot_win,metric_count,10.47,2.194,5.8
random_spot_win,metric_strength,10.321,2.103,5.974
metric_count,random,10.424,5.824,2.121
metric_count,random_spot_win,10.081,6.0,2.488
metric_count,metric_count,11.309,3.088,3.255
metric_count,metric_strength,11.308,2.851,3.31
metric_strength,random,10.299,5.976,2.175
metric_strength,random_spot_win,10.121,6.092,2.344
metric_strength,metric_count,11.248,3.336,3.042
metric_strength,metric_strength,11.454,2.907,3.073
