monkey_strategy,wolf_strategy,seed,winner,turn_count,start_time,end_time
random_spot_win,metric_position_strength,4,MONKEY,13,2024-08-16T23:00:37.636277,2024-08-16T23:00:37.749591
random_spot_win,metric_strength,0,WOLF,8,2024-08-16T23:00:37.749591,2024-08-16T23:00:37.875432
random_spot_win,metric_strength,1,WOLF,10,2024-08-16T23:00:37.875432,2024-08-16T23:00:37.969894
random_spot_win,metric_strength,2,WOLF,16,2024-08-16T23:00:37.969894,2024-08-16T23:00:38.142611
random_spot_win,metric_strength,3,WOLF,10,2024-08-16T23:00:38.142611,2024-08-16T23:00:38.268464
random_spot_win,metric_strength,4,WOLF,14,2024-08-16T23:00:38.268464,2024-08-16T23:00:38.503829
metric_count,random,0,MONKEY,9,2024-08-16T23:00:38.503829,2024-08-16T23:00:38.692756
metric_count,random,1,MONKEY,7,2024-08-16T23:00:38.692756,2024-08-16T23:00:38.819095
metric_count,random,2,MONKEY,9,2024-08-16T23:00:38.819095,2024-08-16T23:00:39.008042
metric_count,random,3,MONKEY,11,2024-08-16T23:00:39.008042,2024-08-16T23:00:39.165261
metric_count,random,4,WOLF,16,2024-08-16T23:00:39.165261,2024-08-16T23:00:39.322210
metric_count,random_spot_win,0,MONKEY,9,2024-08-16T23:00:39.322210,2024-08-16T23:00:39.432254
metric_count,random_spot_win,1,MONKEY,7,2024-08-16T23:00:39.432254,2024-08-16T23:00:39.558209
metric_count,random_spot_win,2,MONKEY,9,2024-08-16T23:00:39.558209,2024-08-16T23:00:39.778364
metric_count,random_spot_win,3,MONKEY,11,2024-08-16T23:00:39.779684,2024-08-16T23:00:39.904923
metric_count,random_spot_win,4,WOLF,14,2024-08-16T23:00:39.904923,2024-08-16T23:00:40.078211
metric_count,metric_count,0,WOLF,10,2024-08-16T23:00:40.078211,2024-08-16T23:00:40.203952
metric_count,metric_count,1,MONKEY,7,2024-08-16T23:00:40.203952,2024-08-16T23:00:40.298417
metric_count,metric_count,2,WOLF,10,2024-08-16T23:00:40.298417,2024-08-16T23:00:40.455952
metric_count,metric_count,3,WOLF,14,2024-08-16T23:00:40.455952,2024-08-16T23:00:40.603349
metric_count,metric_count,4,WOLF,16,2024-08-16T23:00:40.604559,2024-08-16T23:00:40.707062
metric_count,metric_position,0,WOLF,10,2024-08-16T23:00:40.707062,2024-08-16T23:00:40.833259
metric_count,metric_position,1,MONKEY,5,2024-08-16T23:00:40.833259,2024-08-16T23:00:40.912554
metric_count,metric_position,2,WOLF,12,2024-08-16T23:00:40.912554,2024-08-16T23:00:41.054897
metric_count,metric_position,3,WOLF,10,2024-08-16T23:00:41.054897,2024-08-16T23:00:41.180745
metric_count,metric_position,4,WOLF,12,2024-08-16T23:00:41.180745,2024-08-16T23:00:41.290854
metric_count,metric_position_strength,0,MONKEY,13,2024-08-16T23:00:41.290854,2024-08-16T23:00:41.400505
metric_count,metric_position_strength,1,MONKEY,9,2024-08-16T23:00:41.400505,2024-08-16T23:00:41.511177
metric_count,metric_position_strength,2,WOLF,10,2024-08-16T23:00:41.511177,2024-08-16T23:00:41.653096
metric_count,metric_position_strength,3,WOLF,10,2024-08-16T23:00:41.653096,2024-08-16T23:00:41.778958
metric_count,metric_position_strength,4,WOLF,12,2024-08-16T23:00:41.778958,2024-08-16T23:00:41.889562
metric_count,metric_strength,0,WOLF,10,2024-08-16T23:00:41.889562,2024-08-16T23:00:42.047146
metric_count,metric_strength,1,MONKEY,7,2024-08-16T23:00:42.047146,2024-08-16T23:00:42.157230
metric_count,metric_strength,2,WOLF,10,2024-08-16T23:00:42.157230,2024-08-16T23:00:42.346195
metric_count,metric_strength,3,WOLF,16,2024-08-16T23:00:42.346195,2024-08-16T23:00:42.487151
metric_count,metric_strength,4,WOLF,10,2024-08-16T23:00:42.487151,2024-08-16T23:00:42.676081
metric_position,random,0,MONKEY,7,2024-08-16T23:00:42.676081,2024-08-16T23:00:42.801815
metric_position,random,1,MONKEY,7,2024-08-16T23:00:42.801815,2024-08-16T23:00:42.912161
metric_position,random,2,MONKEY,7,2024-08-16T23:00:42.912161,2024-08-16T23:00:43.054139
metric_position,random,3,MONKEY,3,2024-08-16T23:00:43.054139,2024-08-16T23:00:43.148027
metric_position,random,4,MONKEY,11,2024-08-16T23:00:43.148027,2024-08-16T23:00:43.368329
